FECHA_FALLECIMIENTO,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA METROPOLITANA,LIMA REGION,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2020-03-31,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2020-04-02,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-04-03,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,29.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
2020-04-04,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,31.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
2020-04-05,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,18.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
2020-04-06,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,33.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
2020-04-07,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
2020-04-08,0.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,10.0,61.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0
2020-04-09,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,1.0,9.0,46.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
2020-04-10,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,0.0,17.0,50.0,2.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0
2020-04-11,0.0,1.0,0.0,1.0,0.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,52.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0
2020-04-12,0.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,3.0,12.0,62.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
2020-04-13,0.0,3.0,0.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0,5.0,3.0,1.0,10.0,58.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0
2020-04-14,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.0,3.0,3.0,13.0,78.0,1.0,5.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
2020-04-15,0.0,4.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,22.0,72.0,2.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,3.0
2020-04-16,0.0,4.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,5.0,1.0,2.0,21.0,89.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0
2020-04-17,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,21.0,77.0,3.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,5.0
2020-04-18,0.0,4.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,2.0,2.0,21.0,81.0,3.0,7.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,2.0,5.0
2020-04-19,0.0,11.0,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,3.0,3.0,21.0,106.0,4.0,9.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,2.0,10.0
2020-04-20,0.0,8.0,0.0,4.0,1.0,2.0,17.0,0.0,1.0,0.0,2.0,0.0,4.0,22.0,106.0,5.0,9.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,1.0,7.0
2020-04-21,0.0,3.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,1.0,1.0,19.0,119.0,8.0,18.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,3.0,4.0
2020-04-22,0.0,4.0,0.0,2.0,0.0,0.0,16.0,1.0,0.0,1.0,5.0,1.0,3.0,26.0,128.0,5.0,24.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,3.0,9.0
2020-04-23,0.0,8.0,1.0,1.0,2.0,0.0,20.0,1.0,0.0,0.0,4.0,2.0,7.0,33.0,105.0,9.0,26.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,1.0,10.0
2020-04-24,0.0,8.0,0.0,1.0,0.0,0.0,34.0,0.0,1.0,0.0,5.0,1.0,2.0,28.0,127.0,4.0,35.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,4.0,15.0
2020-04-25,0.0,6.0,1.0,2.0,0.0,1.0,19.0,0.0,0.0,0.0,8.0,3.0,1.0,36.0,123.0,2.0,38.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,22.0
2020-04-26,1.0,8.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,3.0,9.0,31.0,138.0,4.0,39.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,18.0
2020-04-27,0.0,16.0,0.0,1.0,0.0,2.0,19.0,0.0,0.0,1.0,2.0,4.0,3.0,38.0,143.0,6.0,40.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,13.0
2020-04-28,0.0,6.0,0.0,1.0,1.0,0.0,15.0,0.0,2.0,0.0,9.0,1.0,10.0,38.0,148.0,4.0,56.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,23.0
2020-04-29,0.0,5.0,0.0,1.0,0.0,2.0,19.0,0.0,0.0,0.0,4.0,0.0,3.0,26.0,147.0,5.0,50.0,0.0,0.0,0.0,39.0,2.0,1.0,0.0,0.0,28.0
2020-04-30,0.0,9.0,0.0,3.0,0.0,0.0,31.0,0.0,0.0,1.0,12.0,0.0,5.0,35.0,172.0,8.0,54.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,29.0
2020-05-01,1.0,6.0,0.0,4.0,0.0,1.0,23.0,1.0,0.0,1.0,10.0,2.0,6.0,37.0,197.0,4.0,50.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,3.0,34.0
2020-05-02,0.0,17.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,1.0,6.0,3.0,9.0,39.0,173.0,10.0,61.0,0.0,0.0,2.0,40.0,1.0,0.0,1.0,2.0,25.0
2020-05-03,1.0,12.0,0.0,1.0,1.0,0.0,31.0,0.0,0.0,0.0,11.0,1.0,6.0,45.0,180.0,8.0,72.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,26.0
2020-05-04,1.0,12.0,0.0,2.0,2.0,0.0,29.0,0.0,1.0,2.0,10.0,8.0,4.0,32.0,186.0,2.0,73.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,3.0,25.0
2020-05-05,2.0,9.0,0.0,3.0,2.0,0.0,26.0,0.0,0.0,3.0,9.0,2.0,4.0,40.0,185.0,8.0,89.0,0.0,0.0,1.0,50.0,1.0,2.0,1.0,2.0,18.0
2020-05-06,2.0,19.0,0.0,2.0,0.0,3.0,31.0,0.0,0.0,1.0,10.0,1.0,10.0,37.0,187.0,12.0,83.0,1.0,0.0,1.0,56.0,0.0,0.0,0.0,4.0,21.0
2020-05-07,0.0,16.0,1.0,8.0,1.0,0.0,26.0,2.0,1.0,2.0,11.0,0.0,7.0,40.0,188.0,8.0,52.0,0.0,1.0,0.0,58.0,0.0,1.0,0.0,3.0,28.0
2020-05-08,0.0,15.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,1.0,14.0,8.0,8.0,32.0,187.0,11.0,82.0,0.0,0.0,0.0,53.0,0.0,2.0,1.0,2.0,22.0
2020-05-09,1.0,20.0,0.0,0.0,1.0,1.0,37.0,0.0,0.0,2.0,4.0,7.0,10.0,35.0,232.0,11.0,61.0,1.0,0.0,1.0,60.0,1.0,3.0,0.0,6.0,24.0
2020-05-10,2.0,15.0,0.0,3.0,0.0,1.0,41.0,0.0,1.0,0.0,7.0,9.0,2.0,40.0,236.0,10.0,65.0,0.0,0.0,0.0,56.0,0.0,3.0,0.0,1.0,28.0
2020-05-11,1.0,14.0,0.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,16.0,2.0,11.0,39.0,220.0,14.0,67.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,7.0,27.0
2020-05-12,1.0,15.0,0.0,3.0,0.0,0.0,38.0,1.0,0.0,0.0,5.0,4.0,9.0,33.0,216.0,5.0,53.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,4.0,28.0
2020-05-13,3.0,15.0,0.0,5.0,0.0,0.0,40.0,2.0,0.0,2.0,9.0,4.0,4.0,39.0,245.0,10.0,48.0,1.0,0.0,0.0,65.0,0.0,3.0,0.0,3.0,19.0
