FECHA_FALLECIMIENTO,FEMENINO,INDETERMINADO,MASCULINO
2020-03-03,0.0,0.0,1.0
2020-03-07,1.0,0.0,0.0
2020-03-11,1.0,0.0,0.0
2020-03-14,0.0,0.0,2.0
2020-03-16,2.0,0.0,2.0
2020-03-17,3.0,0.0,3.0
2020-03-18,1.0,0.0,4.0
2020-03-19,1.0,0.0,5.0
2020-03-20,2.0,0.0,2.0
2020-03-21,0.0,0.0,4.0
2020-03-22,1.0,0.0,4.0
2020-03-23,3.0,0.0,3.0
2020-03-24,2.0,0.0,10.0
2020-03-25,3.0,0.0,3.0
2020-03-26,3.0,0.0,5.0
2020-03-27,4.0,0.0,11.0
2020-03-28,4.0,0.0,5.0
2020-03-29,8.0,0.0,10.0
2020-03-30,8.0,0.0,17.0
2020-03-31,6.0,0.0,17.0
2020-04-01,8.0,0.0,14.0
2020-04-02,9.0,0.0,17.0
2020-04-03,15.0,0.0,34.0
2020-04-04,16.0,0.0,43.0
2020-04-05,17.0,0.0,26.0
2020-04-06,18.0,0.0,45.0
2020-04-07,14.0,0.0,34.0
2020-04-08,28.0,0.0,70.0
2020-04-09,30.0,0.0,51.0
2020-04-10,31.0,0.0,72.0
2020-04-11,29.0,0.0,64.0
2020-04-12,36.0,0.0,69.0
2020-04-13,28.0,0.0,81.0
2020-04-14,42.0,0.0,97.0
2020-04-15,50.0,0.0,83.0
2020-04-16,49.0,0.0,108.0
2020-04-17,45.0,0.0,93.0
2020-04-18,44.0,0.0,114.0
2020-04-19,74.0,0.0,130.0
2020-04-20,59.0,0.0,150.0
2020-04-21,55.0,0.0,164.0
2020-04-22,70.0,0.0,176.0
2020-04-23,75.0,0.0,171.0
2020-04-24,93.0,0.0,195.0
2020-04-25,78.0,0.0,212.0
2020-04-26,95.0,0.0,210.0
2020-04-27,103.0,0.0,210.0
2020-04-28,105.0,0.0,239.0
2020-04-29,105.0,0.0,227.0
2020-04-30,109.0,0.0,290.0
2020-05-01,126.0,0.0,282.0
2020-05-02,112.0,0.0,303.0
2020-05-03,135.0,0.0,303.0
2020-05-04,130.0,0.0,298.0
2020-05-05,137.0,0.0,320.0
2020-05-06,144.0,0.0,337.0
2020-05-07,122.0,0.0,332.0
2020-05-08,138.0,0.0,339.0
2020-05-09,162.0,0.0,356.0
2020-05-10,157.0,0.0,363.0
2020-05-11,142.0,0.0,374.0
2020-05-12,151.0,0.0,315.0
2020-05-13,170.0,0.0,347.0
2020-05-14,164.0,0.0,383.0
2020-05-15,179.0,0.0,330.0
2020-05-16,121.0,0.0,381.0
2020-05-17,190.0,0.0,344.0
2020-05-18,194.0,0.0,421.0
2020-05-19,163.0,0.0,365.0
2020-05-20,153.0,0.0,391.0
2020-05-21,167.0,0.0,360.0
2020-05-22,156.0,0.0,362.0
2020-05-23,173.0,0.0,370.0
2020-05-24,173.0,0.0,399.0
2020-05-25,168.0,0.0,412.0
2020-05-26,180.0,0.0,364.0
2020-05-27,175.0,0.0,414.0
2020-05-28,180.0,0.0,373.0
2020-05-29,193.0,0.0,440.0
2020-05-30,172.0,0.0,427.0
2020-05-31,184.0,0.0,385.0
2020-06-01,215.0,0.0,447.0
2020-06-02,157.0,0.0,383.0
2020-06-03,171.0,0.0,378.0
2020-06-04,195.0,0.0,422.0
2020-06-05,171.0,0.0,418.0
2020-06-06,190.0,0.0,422.0
2020-06-07,195.0,0.0,375.0
2020-06-08,196.0,0.0,423.0
2020-06-09,192.0,0.0,405.0
2020-06-10,206.0,0.0,411.0
2020-06-11,194.0,0.0,408.0
2020-06-12,185.0,0.0,379.0
2020-06-13,229.0,0.0,398.0
2020-06-14,196.0,0.0,402.0
2020-06-15,203.0,0.0,427.0
2020-06-16,208.0,0.0,406.0
2020-06-17,190.0,0.0,416.0
2020-06-18,179.0,0.0,346.0
2020-06-19,205.0,0.0,412.0
2020-06-20,189.0,0.0,399.0
2020-06-21,170.0,0.0,375.0
2020-06-22,189.0,0.0,352.0
2020-06-23,177.0,0.0,376.0
2020-06-24,183.0,0.0,348.0
2020-06-25,163.0,0.0,355.0
2020-06-26,172.0,0.0,355.0
2020-06-27,171.0,0.0,363.0
2020-06-28,173.0,0.0,365.0
2020-06-29,170.0,0.0,329.0
2020-06-30,168.0,0.0,389.0
2020-07-01,185.0,0.0,348.0
2020-07-02,182.0,0.0,354.0
2020-07-03,175.0,0.0,393.0
2020-07-04,174.0,0.0,350.0
2020-07-05,197.0,0.0,385.0
2020-07-06,186.0,0.0,374.0
