SEMANA_DEL_AÑO,FEMENINO,INDETERMINADO,MASCULINO
"(2020, 10)",1.0,0.0,1.0
"(2020, 11)",1.0,0.0,2.0
"(2020, 12)",10.0,0.0,24.0
"(2020, 13)",27.0,0.0,47.0
"(2020, 14)",79.0,0.0,168.0
"(2020, 15)",186.0,0.0,405.0
"(2020, 16)",332.0,0.0,706.0
"(2020, 17)",525.0,0.0,1278.0
"(2020, 18)",795.0,0.0,1854.0
"(2020, 19)",990.0,0.0,2345.0
"(2020, 20)",1117.0,0.0,2474.0
"(2020, 21)",1179.0,0.0,2668.0
"(2020, 22)",1252.0,0.0,2815.0
"(2020, 23)",1294.0,0.0,2845.0
"(2020, 24)",1398.0,0.0,2826.0
"(2020, 25)",1344.0,0.0,2781.0
"(2020, 26)",1228.0,0.0,2514.0
"(2020, 27)",1250.0,0.0,2547.0
"(2020, 28)",1317.0,0.0,2631.0
"(2020, 29)",1408.0,0.0,2769.0
"(2020, 30)",1551.0,0.0,2738.0
"(2020, 31)",1622.0,0.0,2728.0
"(2020, 32)",1772.0,0.0,2690.0
"(2020, 33)",1707.0,0.0,2582.0
"(2020, 34)",1542.0,0.0,2231.0
"(2020, 35)",1325.0,0.0,1951.0
"(2020, 36)",1045.0,0.0,1601.0
"(2020, 37)",902.0,0.0,1243.0
"(2020, 38)",772.0,0.0,1082.0
"(2020, 39)",676.0,0.0,844.0
"(2020, 40)",503.0,0.0,730.0
"(2020, 41)",477.0,0.0,646.0
"(2020, 42)",400.0,0.0,564.0
"(2020, 43)",350.0,0.0,486.0
"(2020, 44)",343.0,0.0,456.0
"(2020, 45)",331.0,0.0,399.0
"(2020, 46)",269.0,0.0,428.0
"(2020, 47)",263.0,0.0,404.0
"(2020, 48)",258.0,0.0,403.0
"(2020, 49)",268.0,0.0,435.0
"(2020, 50)",283.0,0.0,466.0
"(2020, 51)",295.0,0.0,542.0
"(2020, 52)",341.0,0.0,554.0
"(2020, 53)",421.0,1.0,701.0
"(2021, 1)",542.0,0.0,947.0
"(2021, 2)",773.0,0.0,1325.0
"(2021, 3)",1136.0,0.0,1929.0
"(2021, 4)",1350.0,0.0,2549.0
"(2021, 5)",1519.0,0.0,2732.0
"(2021, 6)",1714.0,0.0,3089.0
"(2021, 7)",1738.0,0.0,3191.0
"(2021, 8)",1723.0,0.0,3027.0
"(2021, 9)",1716.0,0.0,2969.0
"(2021, 10)",1652.0,0.0,2900.0
"(2021, 11)",1774.0,0.0,2890.0
"(2021, 12)",1894.0,0.0,3096.0
"(2021, 13)",1894.0,0.0,3305.0
"(2021, 14)",2095.0,0.0,3456.0
"(2021, 15)",2106.0,0.0,3516.0
"(2021, 16)",2161.0,0.0,3489.0
"(2021, 17)",1909.0,0.0,3261.0
"(2021, 18)",1704.0,0.0,2952.0
"(2021, 19)",1483.0,0.0,2529.0
"(2021, 20)",1250.0,0.0,2149.0
"(2021, 21)",1181.0,0.0,1838.0
"(2021, 22)",943.0,0.0,1550.0
"(2021, 23)",335.0,0.0,512.0
