FECHA_FALLECIMIENTO,-1,0,1,2,3,4,5,6,7,8,9,10
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
2020-03-18,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-24,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0
2020-03-27,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,2.0,1.0
2020-03-28,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
2020-03-29,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,4.0,1.0
2020-03-30,0.0,0.0,0.0,0.0,2.0,1.0,2.0,11.0,3.0,4.0,1.0,1.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,6.0,7.0,1.0,0.0
2020-04-01,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,4.0,6.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,7.0,4.0,1.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,12.0,5.0,12.0,2.0
2020-04-04,0.0,0.0,2.0,0.0,0.0,3.0,3.0,6.0,20.0,13.0,9.0,3.0
2020-04-05,0.0,0.0,1.0,0.0,1.0,2.0,5.0,11.0,7.0,9.0,7.0,0.0
2020-04-06,0.0,0.0,1.0,0.0,0.0,2.0,6.0,13.0,18.0,8.0,8.0,7.0
2020-04-07,0.0,0.0,1.0,0.0,0.0,1.0,6.0,7.0,16.0,10.0,6.0,1.0
2020-04-08,0.0,0.0,0.0,0.0,3.0,1.0,10.0,19.0,23.0,22.0,16.0,4.0
2020-04-09,0.0,0.0,3.0,0.0,3.0,4.0,6.0,16.0,15.0,18.0,13.0,3.0
2020-04-10,0.0,0.0,2.0,1.0,5.0,2.0,6.0,15.0,25.0,24.0,21.0,2.0
2020-04-11,0.0,0.0,1.0,0.0,1.0,2.0,10.0,18.0,21.0,23.0,12.0,5.0
2020-04-12,0.0,0.0,0.0,2.0,3.0,6.0,12.0,16.0,22.0,20.0,16.0,8.0
2020-04-13,0.0,0.0,0.0,1.0,3.0,6.0,11.0,19.0,36.0,20.0,12.0,1.0
2020-04-14,0.0,0.0,1.0,0.0,2.0,7.0,19.0,23.0,27.0,34.0,20.0,6.0
2020-04-15,0.0,0.0,2.0,1.0,1.0,6.0,10.0,23.0,26.0,29.0,28.0,7.0
2020-04-16,0.0,0.0,1.0,1.0,3.0,4.0,22.0,28.0,40.0,39.0,13.0,6.0
2020-04-17,0.0,0.0,0.0,2.0,1.0,5.0,18.0,26.0,36.0,22.0,26.0,2.0
2020-04-18,0.0,0.0,1.0,2.0,2.0,8.0,14.0,32.0,42.0,27.0,26.0,4.0
2020-04-19,0.0,0.0,0.0,1.0,9.0,10.0,25.0,36.0,49.0,48.0,23.0,3.0
2020-04-20,0.0,0.0,1.0,0.0,3.0,5.0,18.0,43.0,63.0,47.0,27.0,2.0
2020-04-21,0.0,0.0,0.0,1.0,3.0,5.0,14.0,42.0,58.0,61.0,33.0,2.0
2020-04-22,0.0,0.0,0.0,2.0,5.0,13.0,17.0,50.0,72.0,55.0,26.0,6.0
2020-04-23,0.0,0.0,0.0,3.0,4.0,8.0,16.0,35.0,85.0,65.0,21.0,9.0
2020-04-24,0.0,0.0,3.0,1.0,5.0,13.0,27.0,54.0,74.0,64.0,39.0,8.0
2020-04-25,0.0,0.0,0.0,2.0,3.0,11.0,23.0,64.0,81.0,64.0,36.0,6.0
2020-04-26,0.0,1.0,3.0,1.0,3.0,9.0,19.0,58.0,84.0,80.0,35.0,12.0
2020-04-27,0.0,1.0,3.0,0.0,7.0,12.0,25.0,62.0,91.0,68.0,38.0,6.0
2020-04-28,0.0,0.0,0.0,0.0,2.0,12.0,28.0,67.0,93.0,90.0,44.0,9.0
2020-04-29,0.0,0.0,0.0,2.0,2.0,10.0,22.0,62.0,90.0,87.0,48.0,9.0
2020-04-30,0.0,0.0,0.0,2.0,8.0,14.0,33.0,84.0,123.0,78.0,49.0,8.0
2020-05-01,0.0,1.0,3.0,1.0,4.0,8.0,46.0,85.0,100.0,104.0,48.0,8.0
2020-05-02,0.0,0.0,0.0,1.0,5.0,14.0,32.0,88.0,106.0,98.0,56.0,15.0
2020-05-03,0.0,0.0,1.0,0.0,4.0,15.0,43.0,72.0,135.0,91.0,62.0,15.0
2020-05-04,0.0,0.0,3.0,4.0,6.0,15.0,42.0,83.0,115.0,90.0,61.0,9.0
2020-05-05,0.0,1.0,3.0,3.0,2.0,21.0,52.0,80.0,114.0,105.0,62.0,14.0
2020-05-06,0.0,0.0,2.0,1.0,3.0,10.0,40.0,85.0,130.0,133.0,65.0,12.0
2020-05-07,1.0,0.0,1.0,0.0,5.0,16.0,27.0,79.0,133.0,110.0,71.0,11.0
2020-05-08,0.0,0.0,3.0,1.0,3.0,9.0,42.0,90.0,138.0,111.0,67.0,13.0
2020-05-09,1.0,0.0,1.0,0.0,3.0,24.0,39.0,90.0,149.0,139.0,60.0,12.0
2020-05-10,0.0,0.0,1.0,2.0,6.0,20.0,31.0,99.0,137.0,133.0,79.0,12.0
