SEMANA_DEL_AÑO,0,1,2,3,4,5,6,7,8,9,10
"(2020, 10)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"(2020, 11)",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"(2020, 12)",0.0,0.0,2.0,3.0,4.0,7.0,1.0,5.0,7.0,5.0,0.0
"(2020, 13)",1.0,3.0,1.0,3.0,3.0,7.0,11.0,14.0,19.0,9.0,4.0
"(2020, 14)",0.0,3.0,1.0,6.0,13.0,19.0,55.0,55.0,50.0,40.0,7.0
"(2020, 15)",0.0,8.0,3.0,15.0,18.0,56.0,104.0,141.0,125.0,92.0,30.0
"(2020, 16)",0.0,5.0,8.0,21.0,46.0,119.0,186.0,256.0,220.0,148.0,30.0
"(2020, 17)",1.0,7.0,10.0,26.0,64.0,134.0,346.0,517.0,435.0,218.0,45.0
"(2020, 18)",2.0,7.0,6.0,32.0,86.0,229.0,519.0,738.0,616.0,346.0,70.0
"(2020, 19)",1.0,16.0,11.0,28.0,115.0,273.0,606.0,916.0,821.0,465.0,83.0
"(2020, 20)",4.0,16.0,6.0,28.0,92.0,320.0,661.0,1027.0,826.0,518.0,96.0
"(2020, 21)",4.0,12.0,9.0,40.0,122.0,335.0,683.0,1071.0,938.0,523.0,112.0
"(2020, 22)",2.0,7.0,10.0,44.0,137.0,365.0,732.0,1102.0,991.0,571.0,106.0
"(2020, 23)",6.0,8.0,10.0,44.0,138.0,379.0,814.0,1063.0,1019.0,556.0,105.0
"(2020, 24)",3.0,13.0,12.0,49.0,156.0,371.0,762.0,1127.0,1037.0,589.0,107.0
"(2020, 25)",6.0,13.0,5.0,58.0,131.0,337.0,715.0,1117.0,1033.0,617.0,95.0
"(2020, 26)",3.0,11.0,13.0,44.0,153.0,320.0,680.0,960.0,879.0,581.0,98.0
"(2020, 27)",1.0,21.0,17.0,46.0,123.0,315.0,685.0,990.0,943.0,543.0,115.0
"(2020, 28)",5.0,14.0,15.0,42.0,117.0,347.0,705.0,1016.0,982.0,586.0,120.0
"(2020, 29)",2.0,8.0,11.0,45.0,136.0,371.0,749.0,1123.0,978.0,629.0,127.0
"(2020, 30)",2.0,5.0,16.0,54.0,127.0,348.0,779.0,1180.0,1002.0,639.0,136.0
"(2020, 31)",3.0,15.0,10.0,49.0,140.0,356.0,811.0,1176.0,1045.0,616.0,130.0
"(2020, 32)",4.0,12.0,15.0,59.0,143.0,409.0,824.0,1197.0,1022.0,649.0,129.0
"(2020, 33)",3.0,16.0,14.0,58.0,135.0,354.0,785.0,1163.0,1007.0,615.0,141.0
"(2020, 34)",2.0,12.0,21.0,61.0,113.0,291.0,652.0,959.0,1000.0,552.0,112.0
"(2020, 35)",5.0,15.0,8.0,39.0,93.0,250.0,558.0,891.0,780.0,531.0,108.0
"(2020, 36)",7.0,14.0,9.0,42.0,89.0,218.0,408.0,650.0,673.0,431.0,104.0
"(2020, 37)",3.0,11.0,10.0,32.0,82.0,159.0,356.0,547.0,498.0,365.0,81.0
"(2020, 38)",3.0,7.0,9.0,25.0,57.0,146.0,265.0,466.0,460.0,328.0,89.0
"(2020, 39)",1.0,11.0,10.0,38.0,58.0,114.0,226.0,366.0,370.0,261.0,64.0
"(2020, 40)",0.0,6.0,4.0,22.0,42.0,94.0,163.0,321.0,297.0,228.0,57.0
"(2020, 41)",0.0,3.0,12.0,37.0,42.0,87.0,163.0,250.0,270.0,199.0,59.0
"(2020, 42)",4.0,6.0,7.0,17.0,45.0,90.0,132.0,222.0,222.0,183.0,37.0
"(2020, 43)",0.0,6.0,8.0,21.0,33.0,57.0,116.0,205.0,194.0,145.0,49.0
"(2020, 44)",2.0,8.0,5.0,17.0,25.0,60.0,107.0,174.0,196.0,171.0,35.0
"(2020, 45)",0.0,5.0,6.0,20.0,28.0,70.0,97.0,158.0,188.0,130.0,28.0
"(2020, 46)",3.0,5.0,7.0,16.0,26.0,42.0,102.0,163.0,170.0,135.0,32.0
"(2020, 47)",1.0,3.0,9.0,14.0,21.0,55.0,65.0,136.0,155.0,167.0,41.0
"(2020, 48)",0.0,7.0,6.0,8.0,23.0,50.0,87.0,141.0,177.0,131.0,34.0
"(2020, 49)",2.0,5.0,3.0,14.0,33.0,44.0,86.0,158.0,175.0,146.0,39.0
"(2020, 50)",1.0,6.0,7.0,13.0,20.0,57.0,93.0,192.0,170.0,151.0,41.0
"(2020, 51)",0.0,6.0,8.0,11.0,29.0,57.0,113.0,205.0,227.0,142.0,37.0
"(2020, 52)",1.0,3.0,10.0,17.0,36.0,65.0,125.0,223.0,227.0,140.0,48.0
"(2020, 53)",1.0,4.0,6.0,12.0,36.0,92.0,158.0,266.0,301.0,200.0,45.0
"(2021, 1)",0.0,3.0,3.0,23.0,51.0,100.0,221.0,409.0,393.0,225.0,61.0
"(2021, 2)",1.0,6.0,1.0,19.0,66.0,159.0,327.0,555.0,528.0,363.0,72.0
"(2021, 3)",2.0,8.0,7.0,32.0,109.0,229.0,541.0,853.0,738.0,440.0,107.0
"(2021, 4)",2.0,6.0,16.0,39.0,123.0,336.0,749.0,1017.0,893.0,592.0,126.0
"(2021, 5)",3.0,10.0,17.0,35.0,148.0,401.0,795.0,1100.0,1031.0,593.0,119.0
"(2021, 6)",1.0,6.0,8.0,48.0,180.0,479.0,881.0,1279.0,1134.0,631.0,152.0
"(2021, 7)",3.0,5.0,16.0,54.0,190.0,468.0,905.0,1269.0,1163.0,701.0,153.0
"(2021, 8)",1.0,6.0,14.0,60.0,191.0,463.0,889.0,1247.0,1075.0,651.0,149.0
"(2021, 9)",1.0,7.0,11.0,55.0,175.0,465.0,826.0,1181.0,1095.0,713.0,159.0
"(2021, 10)",5.0,11.0,7.0,56.0,188.0,469.0,837.0,1194.0,1000.0,669.0,116.0
"(2021, 11)",3.0,9.0,13.0,43.0,190.0,473.0,844.0,1222.0,1055.0,663.0,151.0
"(2021, 12)",2.0,14.0,8.0,54.0,215.0,539.0,921.0,1281.0,1115.0,694.0,147.0
"(2021, 13)",3.0,10.0,15.0,77.0,230.0,530.0,1016.0,1309.0,1132.0,710.0,165.0
"(2021, 14)",4.0,8.0,12.0,56.0,246.0,570.0,1063.0,1406.0,1240.0,782.0,165.0
"(2021, 15)",2.0,11.0,15.0,72.0,254.0,575.0,1046.0,1440.0,1298.0,756.0,154.0
"(2021, 16)",3.0,2.0,17.0,58.0,218.0,572.0,1088.0,1424.0,1362.0,729.0,176.0
"(2021, 17)",6.0,9.0,10.0,59.0,224.0,480.0,942.0,1287.0,1234.0,763.0,157.0
"(2021, 18)",4.0,14.0,12.0,46.0,171.0,486.0,805.0,1266.0,1075.0,635.0,153.0
"(2021, 19)",6.0,11.0,9.0,49.0,162.0,408.0,690.0,1004.0,1026.0,534.0,123.0
"(2021, 20)",1.0,6.0,5.0,37.0,122.0,338.0,653.0,903.0,804.0,436.0,102.0
"(2021, 21)",2.0,6.0,11.0,26.0,112.0,263.0,587.0,827.0,731.0,394.0,74.0
"(2021, 22)",4.0,4.0,1.0,28.0,93.0,247.0,483.0,711.0,572.0,291.0,75.0
"(2021, 23)",2.0,4.0,5.0,23.0,78.0,204.0,433.0,608.0,426.0,222.0,46.0
"(2021, 24)",0.0,1.0,9.0,28.0,69.0,199.0,346.0,469.0,282.0,161.0,46.0
"(2021, 25)",0.0,0.0,1.0,2.0,7.0,13.0,40.0,35.0,22.0,27.0,7.0
