SEMANA_DEL_AÑO,FEMENINO,INDETERMINAD,INDETERMINADO,MASCULINO
"(2020, 10)",1.0,0.0,0.0,1.0
"(2020, 11)",1.0,0.0,0.0,2.0
"(2020, 12)",10.0,0.0,0.0,24.0
"(2020, 13)",27.0,0.0,0.0,47.0
"(2020, 14)",79.0,0.0,0.0,168.0
"(2020, 15)",186.0,0.0,0.0,405.0
"(2020, 16)",332.0,0.0,0.0,706.0
"(2020, 17)",525.0,0.0,0.0,1278.0
"(2020, 18)",795.0,0.0,0.0,1855.0
"(2020, 19)",989.0,0.0,0.0,2346.0
"(2020, 20)",1117.0,0.0,0.0,2475.0
"(2020, 21)",1179.0,0.0,0.0,2668.0
"(2020, 22)",1252.0,0.0,0.0,2815.0
"(2020, 23)",1294.0,0.0,0.0,2845.0
"(2020, 24)",1398.0,0.0,0.0,2826.0
"(2020, 25)",1344.0,0.0,0.0,2782.0
"(2020, 26)",1228.0,0.0,0.0,2514.0
"(2020, 27)",1251.0,0.0,0.0,2548.0
"(2020, 28)",1317.0,0.0,0.0,2631.0
"(2020, 29)",1408.0,0.0,0.0,2768.0
"(2020, 30)",1551.0,0.0,0.0,2739.0
"(2020, 31)",1622.0,0.0,0.0,2729.0
"(2020, 32)",1772.0,0.0,0.0,2689.0
"(2020, 33)",1707.0,0.0,0.0,2582.0
"(2020, 34)",1542.0,0.0,0.0,2231.0
"(2020, 35)",1326.0,0.0,0.0,1949.0
"(2020, 36)",1044.0,0.0,0.0,1602.0
"(2020, 37)",902.0,0.0,0.0,1242.0
"(2020, 38)",772.0,0.0,0.0,1083.0
"(2020, 39)",676.0,0.0,0.0,844.0
"(2020, 40)",504.0,0.0,0.0,731.0
"(2020, 41)",479.0,0.0,0.0,646.0
"(2020, 42)",400.0,0.0,0.0,565.0
"(2020, 43)",349.0,0.0,0.0,487.0
"(2020, 44)",343.0,0.0,0.0,457.0
"(2020, 45)",330.0,0.0,0.0,398.0
"(2020, 46)",269.0,0.0,0.0,428.0
"(2020, 47)",264.0,0.0,0.0,404.0
"(2020, 48)",260.0,0.0,0.0,403.0
"(2020, 49)",268.0,0.0,0.0,435.0
"(2020, 50)",283.0,0.0,0.0,467.0
"(2020, 51)",295.0,0.0,0.0,542.0
"(2020, 52)",341.0,0.0,0.0,553.0
"(2020, 53)",421.0,0.0,1.0,701.0
"(2021, 1)",542.0,0.0,0.0,947.0
"(2021, 2)",773.0,0.0,0.0,1325.0
"(2021, 3)",1136.0,0.0,0.0,1929.0
"(2021, 4)",1349.0,0.0,0.0,2550.0
"(2021, 5)",1520.0,0.0,0.0,2732.0
"(2021, 6)",1713.0,0.0,0.0,3088.0
"(2021, 7)",1736.0,0.0,0.0,3192.0
"(2021, 8)",1724.0,0.0,0.0,3026.0
"(2021, 9)",1716.0,0.0,0.0,2971.0
"(2021, 10)",1652.0,0.0,0.0,2902.0
"(2021, 11)",1775.0,0.0,0.0,2890.0
"(2021, 12)",1893.0,0.0,0.0,3097.0
"(2021, 13)",1893.0,0.0,0.0,3306.0
"(2021, 14)",2095.0,0.0,0.0,3456.0
"(2021, 15)",2106.0,0.0,0.0,3517.0
"(2021, 16)",2161.0,0.0,0.0,3491.0
"(2021, 17)",1909.0,0.0,0.0,3260.0
"(2021, 18)",1707.0,0.0,0.0,2953.0
"(2021, 19)",1485.0,0.0,0.0,2534.0
"(2021, 20)",1249.0,0.0,0.0,2153.0
"(2021, 21)",1180.0,1.0,0.0,1841.0
"(2021, 22)",943.0,0.0,0.0,1559.0
"(2021, 23)",631.0,0.0,0.0,1035.0
